miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-155-5p 287 188 169 302 231 245 229 262 372 120 293 390 520 235
hsa-miR-15a-5p 28 10 2 16 28 77 29 23 36 6 0 8 1 34
hsa-miR-15b-3p 13 0 7 34 36 9 10 86 51 35 12 58 36 8
hsa-miR-15b-5p 52 11 27 46 104 75 149 131 103 35 14 48 54 53
hsa-miR-16-1-3p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-16-2-3p 1114 191 457 1241 2163 1403 3238 2569 3864 731 563 1343 2733 1813
hsa-miR-16-5p 483 57 173 525 748 703 1010 1038 1210 367 144 559 640 965
hsa-miR-17-3p 0 0 0 3 0 0 0 0 0 0 0 1 1 0
hsa-miR-17-5p 175 24 72 109 138 92 174 272 269 90 60 191 182 95
hsa-miR-181a-2-3p 134 16 83 118 74 15 101 187 169 79 15 179 9 67
hsa-miR-181a-3p 0 1 3 8 0 8 0 10 29 12 7 21 3 25
hsa-miR-181a-5p 841 163 558 980 818 915 1292 1400 1586 470 228 1315 890 998
hsa-miR-181b-2-3p 0 0 0 0 0 0 0 0 17 0 0 0 0 0
hsa-miR-181b-3p 0 0 1 0 1 1 0 0 0 0 0 1 2 0
hsa-miR-181b-5p 163 39 74 139 156 121 200 205 303 69 42 305 262 112
hsa-miR-181c-3p 1 2 0 0 13 0 17 1 0 0 0 1 0 0
hsa-miR-181c-5p 0 0 0 0 0 0 0 0 3 0 0 0 0 0
hsa-miR-181d-3p 0 0 0 7 0 0 0 0 0 0 0 0 0 0
hsa-miR-181d-5p 46 7 20 19 11 0 92 38 77 19 27 116 16 2
hsa-miR-182-3p 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-182-5p 556 106 362 282 384 496 663 824 592 267 167 524 427 688
hsa-miR-1827 3 0 9 3 6 6 3 1 9 1 1 12 0 4
hsa-miR-183-3p 1 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-183-5p 455 66 355 406 625 727 936 1028 782 352 235 531 551 813
hsa-miR-184 22 0 4 16 43 67 7 45 31 24 23 34 32 42
hsa-miR-185-3p 25 8 17 27 0 3 23 27 100 12 23 56 21 15
hsa-miR-185-5p 1152 255 705 1917 1788 1617 5432 5411 10245 1864 648 2098 2720 2359
hsa-miR-186-5p 671 73 207 661 862 829 1366 1577 1661 492 305 562 872 610
