miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-4732-5p 113 8 67 236 287 335 704 834 955 114 85 187 754 274
hsa-miR-4734 0 0 0 0 0 0 0 0 0 0 0 5 0 0
hsa-miR-4738-3p 8 3 1 2 0 0 0 0 14 2 0 8 6 0
hsa-miR-4741 0 0 0 7 0 1 0 0 1 0 0 0 0 0
hsa-miR-4742-3p 1 0 0 0 6 0 4 3 26 0 1 7 0 13
hsa-miR-4742-5p 7 0 0 0 0 0 13 0 4 0 0 5 0 0
hsa-miR-4743-3p 0 0 0 0 0 0 5 0 0 0 0 0 0 0
hsa-miR-4743-5p 0 0 0 0 0 0 0 0 0 0 6 6 0 0
hsa-miR-4745-5p 9 0 0 7 12 0 0 5 22 5 3 0 0 0
hsa-miR-4746-5p 28 1 19 34 44 17 81 53 44 37 17 47 24 28
hsa-miR-4747-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4747-5p 0 0 0 0 0 0 12 0 0 0 2 0 0 1
hsa-miR-4748 0 0 2 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4749-3p 0 0 2 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4749-5p 0 0 0 0 0 0 20 0 0 0 0 0 0 0
hsa-miR-4750-5p 17 0 15 2 0 19 11 0 17 0 0 2 0 0
hsa-miR-4753-5p 0 0 0 3 0 0 0 0 0 0 0 0 0 0
hsa-miR-4754 0 0 0 0 0 0 0 0 0 0 3 0 0 0
hsa-miR-4755-3p 0 0 0 0 0 0 0 0 10 0 0 0 0 0
hsa-miR-4755-5p 9 0 16 5 0 0 0 54 30 13 5 44 0 0
hsa-miR-4762-3p 0 0 3 0 0 0 0 12 1 0 0 1 0 10
hsa-miR-4763-5p 0 0 0 0 0 0 0 0 12 0 0 0 0 0
hsa-miR-4765 0 0 0 0 0 0 15 0 0 0 0 0 0 0
hsa-miR-4772-3p 0 0 0 10 2 0 0 0 0 0 0 0 0 0
hsa-miR-4773 0 0 0 9 0 0 0 0 0 0 0 0 0 0
hsa-miR-4779 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4781-3p 5 0 0 0 0 0 0 0 0 0 0 0 0 14
hsa-miR-4783-3p 0 0 0 0 0 0 0 2 0 0 0 0 0 0
hsa-miR-4784 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4786-5p 6 0 0 0 19 0 0 0 0 0 0 0 1 0
hsa-miR-4787-3p 0 0 0 5 0 0 0 0 0 0 0 0 0 0
hsa-miR-4791 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4796-3p 0 0 0 0 1 0 0 0 0 0 0 0 0 0
hsa-miR-4796-5p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-4797-3p 0 0 0 0 0 0 0 0 0 0 0 8 0 0
hsa-miR-4797-5p 0 0 0 0 0 0 0 0 7 0 0 0 0 0
hsa-miR-4800-3p 0 0 0 0 0 0 0 0 6 0 0 0 0 24
hsa-miR-4800-5p 0 0 0 0 2 0 0 0 0 0 0 0 0 0
hsa-miR-4804-5p 0 0 0 6 0 0 2 8 1 0 0 0 0 14
hsa-miR-483-3p 9 0 19 39 68 100 39 65 7 28 2 39 120 47
hsa-miR-483-5p 176 57 115 238 378 309 251 286 250 39 84 229 1810 841
hsa-miR-484 820 222 693 704 1144 229 941 767 2151 264 482 1204 413 428
hsa-miR-485-3p 77 9 203 138 25 51 119 71 115 20 41 132 62 19
hsa-miR-485-5p 380 41 376 215 113 76 251 249 279 97 76 167 126 80
hsa-miR-486-3p 541 116 406 1332 1301 1103 2494 2503 3476 518 403 1044 2000 1372
hsa-miR-486-5p 122311 22089 62559 158235 234583 197274 397348 429583 544538 105881 70292 166725 296032 237301
hsa-miR-487a-3p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-487a-5p 1 0 1 5 0 0 0 0 0 0 0 0 0 0
hsa-miR-487b-3p 0 0 0 6 0 21 0 9 0 0 1 14 0 0
hsa-miR-489-3p 0 0 0 0 0 0 3 0 0 0 0 0 0 0
hsa-miR-490-3p 12 0 0 4 8 0 0 0 0 0 0 0 0 0
hsa-miR-491-5p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-493-3p 381 56 344 272 44 41 412 201 345 59 95 360 22 57
hsa-miR-493-5p 37 14 83 19 13 18 132 32 28 69 23 73 9 33
hsa-miR-494-3p 13 0 24 14 0 0 1 4 7 1 2 12 0 0
hsa-miR-495-3p 102 33 104 86 83 19 159 33 34 13 28 99 23 26
hsa-miR-497-5p 0 0 0 0 0 0 0 0 0 0 0 13 0 0
hsa-miR-498 0 0 0 0 0 2 0 5 0 0 0 3 0 0
hsa-miR-499a-5p 0 10 11 18 49 91 50 67 80 54 1 32 84 51
hsa-miR-499b-5p 0 0 0 8 0 0 0 0 0 0 0 0 0 0
hsa-miR-5001-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-5003-3p 4 0 0 0 4 1 0 0 0 6 0 3 0 0
hsa-miR-5004-3p 0 1 0 0 0 0 0 0 6 0 3 9 0 0
hsa-miR-5004-5p 0 0 0 0 0 0 0 0 13 0 0 0 0 0
hsa-miR-5006-5p 0 0 0 0 0 0 0 0 0 0 0 2 0 0
hsa-miR-5008-3p 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-5009-5p 13 0 4 4 0 6 6 0 33 10 5 6 50 12
hsa-miR-500a-3p 8 5 3 6 31 36 5 51 12 12 6 6 10 56
hsa-miR-500b-3p 0 0 1 2 0 0 0 0 0 1 0 5 0 0
hsa-miR-501-3p 82 6 32 41 176 125 350 294 410 95 52 118 200 110
hsa-miR-501-5p 0 0 0 8 0 0 0 2 9 0 2 0 0 7
hsa-miR-5010-3p 10 6 33 43 42 30 37 6 40 4 23 39 3 0
hsa-miR-5010-5p 7 1 20 34 53 46 39 88 62 11 20 31 102 28
hsa-miR-502-3p 7 5 3 0 33 15 14 27 51 5 5 27 35 43
hsa-miR-503-5p 27 1 5 12 52 41 40 73 37 42 9 23 39 24
hsa-miR-504-3p 0 0 0 0 0 0 0 0 0 0 0 0 7 0
hsa-miR-504-5p 11 2 0 8 6 4 28 10 2 12 1 20 0 0
hsa-miR-505-3p 16 10 5 10 30 0 2 23 0 16 10 27 0 6
hsa-miR-505-5p 84 40 118 194 74 121 322 203 270 46 70 215 175 101
hsa-miR-506-3p 0 0 0 0 0 0 0 0 0 0 0 6 0 0
hsa-miR-508-3p 0 0 0 0 9 0 0 0 0 0 0 0 0 0
hsa-miR-5089-5p 0 0 0 0 0 0 0 0 0 0 0 0 12 0
hsa-miR-509-3-5p 0 0 0 3 7 2 0 0 0 0 0 16 0 0
hsa-miR-509-3p 0 0 3 10 0 0 0 0 0 0 0 0 0 0
hsa-miR-509-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 19
hsa-miR-5090 0 0 0 1 0 2 0 0 0 0 1 0 0 0
hsa-miR-511-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-511-5p 141 27 78 188 119 37 190 140 372 118 31 186 274 415
hsa-miR-512-3p 0 0 0 0 0 29 0 50 0 38 0 36 0 0
hsa-miR-512-5p 0 0 0 0 0 1 0 2 0 2 0 0 0 0
hsa-miR-513c-5p 0 0 0 0 0 15 0 0 0 0 0 0 0 17
hsa-miR-514a-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 18
hsa-miR-515-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-515-5p 0 0 0 0 0 7 0 10 0 3 0 2 0 0
hsa-miR-516a-5p 0 8 0 0 0 77 0 54 0 82 0 57 0 0
hsa-miR-516b-5p 27 0 0 27 22 283 29 184 91 207 3 162 57 44
hsa-miR-517-5p 0 0 0 0 0 2 0 0 0 0 0 0 0 0
hsa-miR-517b-3p 0 0 4 0 0 42 0 49 0 36 0 43 0 1
hsa-miR-517c-3p 0 0 0 0 0 1 0 0 0 4 2 5 0 0
hsa-miR-5187-5p 0 0 9 2 0 6 6 0 4 3 5 14 0 0
hsa-miR-5188 0 0 0 0 0 0 0 0 0 0 0 3 0 0
hsa-miR-5189-3p 0 0 0 0 0 0 0 0 27 0 0 0 0 0
hsa-miR-5189-5p 33 3 36 16 34 0 23 39 47 6 9 15 48 26
hsa-miR-518a-3p 0 0 0 0 0 9 0 14 0 24 0 9 0 0
hsa-miR-518b 0 0 0 0 0 42 0 33 0 20 0 30 0 21
hsa-miR-518c-3p 0 0 0 0 0 11 0 14 0 15 0 13 0 0
hsa-miR-518c-5p 0 0 0 0 0 6 0 7 0 4 0 6 0 0
hsa-miR-518e-3p 0 0 0 0 0 17 0 12 0 11 0 12 0 0
hsa-miR-518f-3p 0 0 0 0 0 12 0 2 0 4 0 5 0 0
hsa-miR-518f-5p 0 0 0 0 0 3 0 6 0 4 0 4 0 0
hsa-miR-5192 0 0 0 0 0 0 25 0 9 0 0 7 0 0
hsa-miR-5193 0 22 2 19 0 0 16 11 7 5 21 21 0 0
hsa-miR-5196-3p 0 0 4 16 12 0 12 0 0 0 0 0 26 22
hsa-miR-519a-3p 0 0 0 0 0 0 0 1 0 2 0 0 0 0
hsa-miR-519b-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-519b-5p 0 0 0 0 0 22 0 23 0 21 0 15 0 0
hsa-miR-519c-3p 0 0 0 0 0 1 0 2 0 0 0 1 0 0
hsa-miR-519d-3p 0 0 0 0 0 4 0 13 0 15 0 7 0 0
hsa-miR-519d-5p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-520a-3p 0 0 0 0 0 14 0 17 0 21 3 9 0 0
hsa-miR-520a-5p 0 0 0 0 0 4 0 6 0 2 0 0 0 0
hsa-miR-520c-5p 0 0 0 0 0 4 0 4 0 4 0 4 0 0
hsa-miR-520d-3p 0 0 0 0 0 2 0 6 0 8 0 4 0 0
hsa-miR-520d-5p 0 0 0 0 0 2 0 1 0 0 0 0 0 0
hsa-miR-520e 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-520f-3p 0 0 0 0 0 5 0 10 0 1 0 6 0 0
hsa-miR-520f-5p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-520g-5p 0 0 0 0 0 0 0 3 0 1 0 1 0 0
hsa-miR-520h 0 0 0 0 0 21 0 9 0 7 0 7 0 0
hsa-miR-521 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-522-3p 0 0 0 0 1 9 0 5 1 4 0 1 0 0
hsa-miR-523-3p 0 0 0 0 0 15 0 19 0 13 0 14 0 0
hsa-miR-524-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-524-5p 0 0 0 0 0 2 0 2 0 3 0 1 0 0
hsa-miR-525-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-525-5p 0 0 0 0 0 1 0 4 0 2 0 3 0 0
hsa-miR-526b-3p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-526b-5p 0 0 0 0 0 35 0 51 0 47 0 45 0 0
hsa-miR-527 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-532-3p 0 0 0 0 5 0 0 21 0 0 0 4 0 0
hsa-miR-532-5p 479 103 293 943 1146 931 1500 1328 1396 348 351 709 1115 578
hsa-miR-539-5p 5 0 8 6 0 0 0 0 0 0 0 10 0 0
hsa-miR-541-3p 0 0 7 8 0 0 0 0 0 0 0 0 0 0
hsa-miR-542-3p 4 0 4 3 0 28 1 23 0 16 4 15 3 5
hsa-miR-543 1065 306 1272 923 636 48 1718 997 1283 298 317 844 262 296
hsa-miR-548a-3p 0 0 0 0 0 8 0 0 0 0 0 0 0 0
hsa-miR-548ab 3 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-548ad-5p 0 0 0 5 0 0 0 0 0 0 0 4 0 0
hsa-miR-548ag 0 5 1 0 0 0 0 0 0 0 0 3 0 0
hsa-miR-548ah-3p 25 0 2 14 0 1 1 4 26 2 5 5 0 12
hsa-miR-548ah-5p 0 0 0 0 0 0 0 0 0 0 0 0 13 0
hsa-miR-548al 0 0 3 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-548am-3p 31 6 33 33 7 5 24 14 47 7 20 32 26 28
hsa-miR-548an 0 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-miR-548ap-5p 23 0 26 35 30 16 21 13 50 1 8 69 0 0
hsa-miR-548ar-3p 71 16 0 0 0 0 0 0 66 0 3 1 0 0
hsa-miR-548as-5p 0 0 0 0 0 0 0 3 0 0 0 2 0 0
hsa-miR-548av-3p 0 0 3 0 0 7 2 0 3 0 0 2 4 0
hsa-miR-548ay-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-548az-5p 16 0 0 11 9 0 0 0 0 0 2 4 0 0
hsa-miR-548e-3p 13 0 7 8 0 21 0 5 15 2 0 1 0 0
hsa-miR-548f-3p 0 0 0 0 0 0 0 1 0 0 1 0 3 1
hsa-miR-548h-5p 0 0 0 0 1 2 0 0 0 1 0 0 0 0
hsa-miR-548i 0 0 0 0 0 0 0 0 0 3 0 0 0 0
hsa-miR-548j-3p 14 4 24 7 19 0 12 7 14 0 6 9 0 14
hsa-miR-548j-5p 14 4 8 0 19 0 7 0 37 4 4 18 0 0
hsa-miR-548k 13 0 0 0 0 0 10 1 0 0 2 0 0 0
hsa-miR-548l 0 0 0 0 0 21 0 16 11 0 0 5 0 0
hsa-miR-548n 3 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-548o-3p 118 46 86 110 38 11 94 45 170 38 68 123 110 67
hsa-miR-548p 0 0 0 0 0 0 0 1 1 0 1 0 0 0
hsa-miR-548q 0 0 4 0 0 0 0 0 5 0 0 0 0 0
hsa-miR-548u 0 0 0 0 0 0 0 0 0 8 0 8 0 0
hsa-miR-550a-3-5p 15 3 35 77 70 3 98 135 112 78 16 66 29 81
hsa-miR-550a-3p 0 0 0 0 0 0 0 0 1 0 0 1 0 1
hsa-miR-550a-5p 0 0 1 0 0 0 0 0 0 4 0 0 0 0
hsa-miR-550b-2-5p 0 0 1 0 0 0 7 1 6 0 0 0 0 0
hsa-miR-550b-3p 0 0 1 0 0 0 0 0 5 0 0 0 0 0
hsa-miR-551a 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-551b-5p 0 0 0 7 0 0 0 0 0 17 0 0 0 0
hsa-miR-552-3p 0 0 0 0 0 0 0 5 17 16 4 11 0 0
hsa-miR-556-5p 6 0 4 1 0 0 0 27 9 0 1 1 0 0
hsa-miR-5582-3p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-5584-5p 0 0 4 2 0 0 15 0 7 0 1 3 0 0
hsa-miR-5586-5p 1 0 2 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-5587-3p 11 5 0 0 0 0 0 13 14 0 0 13 0 0
hsa-miR-5589-5p 0 0 2 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-5591-5p 0 0 0 0 0 0 0 0 0 0 0 0 45 0
hsa-miR-5680 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hsa-miR-5684 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-5695 3 0 1 0 23 1 0 28 0 0 0 0 0 0
hsa-miR-5697 0 0 0 0 0 19 0 0 0 0 0 0 0 0
hsa-miR-5698 10 0 7 0 0 0 0 0 0 0 0 25 0 0
hsa-miR-5699-3p 0 0 0 0 1 2 0 0 0 0 0 0 0 0
hsa-miR-570-5p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-573 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-574-3p 19 0 22 46 1 5 27 9 54 11 2 32 9 0
hsa-miR-574-5p 873 242 668 740 1085 851 1667 1106 1997 435 380 915 1426 1165
hsa-miR-576-3p 49 18 27 39 46 49 28 67 109 14 49 104 65 7
hsa-miR-576-5p 0 2 0 0 101 0 0 17 24 0 8 0 0 19
hsa-miR-577 1 0 1 1 0 0 0 0 0 0 0 0 0 0
hsa-miR-579-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-579-5p 0 0 7 0 8 0 0 21 0 0 0 0 0 23
hsa-miR-581 31 0 1 9 0 1 0 0 25 14 3 21 0 0
hsa-miR-582-3p 9 0 0 25 1 0 7 7 30 6 1 8 0 18
hsa-miR-582-5p 0 0 0 0 0 0 0 0 16 0 0 0 0 0
hsa-miR-584-3p 0 0 0 0 0 0 0 0 8 0 0 0 0 0
hsa-miR-584-5p 1110 210 759 681 1159 469 1286 835 2289 584 458 2533 531 442
hsa-miR-585-3p 8 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-589-5p 107 9 62 42 28 15 32 26 6 11 40 85 16 24
hsa-miR-590-3p 24 0 0 0 0 0 0 1 0 1 0 1 0 0
hsa-miR-592 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hsa-miR-597-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-598-3p 21 1 0 3 0 1 36 7 7 0 0 2 10 0
hsa-miR-605-3p 0 6 3 0 0 0 0 4 0 8 0 9 0 0
hsa-miR-605-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-610 0 0 4 22 0 0 0 0 9 0 0 2 15 0
hsa-miR-6130 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6133 0 0 0 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-615-3p 10 2 18 148 33 57 78 100 172 50 20 61 72 61
hsa-miR-615-5p 0 0 0 0 0 0 0 0 8 0 0 0 0 0
hsa-miR-616-3p 0 0 4 1 11 0 0 9 34 0 0 0 0 0
hsa-miR-616-5p 0 0 0 0 0 0 0 14 0 0 0 0 0 0
hsa-miR-618 0 3 3 0 0 0 1 0 0 0 0 0 0 25
hsa-miR-624-5p 6 0 9 4 0 0 0 0 0 0 0 0 0 0
hsa-miR-625-3p 1366 417 1382 941 1955 472 890 665 1988 287 735 1288 315 218
hsa-miR-625-5p 0 0 1 5 0 0 1 0 6 0 5 26 0 0
hsa-miR-627-3p 0 0 0 0 0 0 0 0 11 0 0 0 0 1
hsa-miR-627-5p 0 0 0 0 0 0 0 0 0 0 0 5 0 0
hsa-miR-628-3p 160 46 115 35 46 11 118 60 210 5 80 162 52 6
hsa-miR-628-5p 0 0 0 0 0 0 0 11 5 1 0 0 0 0
hsa-miR-629-3p 2 0 0 0 0 0 0 0 0 1 0 6 0 0
hsa-miR-629-5p 378 72 271 344 699 445 681 608 940 130 239 541 339 126
hsa-miR-636 0 0 1 0 0 0 11 11 9 7 1 0 3 21
hsa-miR-641 99 45 76 24 32 1 89 32 61 28 69 97 1 6
hsa-miR-642a-3p 17 8 53 169 31 68 15 59 159 9 8 44 54 45
hsa-miR-642a-5p 0 0 0 0 0 0 0 1 0 0 0 1 1 6
hsa-miR-642b-3p 0 0 1 1 0 0 0 2 1 0 0 0 0 3
hsa-miR-6500-3p 0 0 0 10 0 0 0 1 0 0 0 0 0 13
hsa-miR-6501-5p 0 0 0 0 0 11 0 1 0 11 0 0 17 0
hsa-miR-6503-3p 0 0 5 6 33 0 0 1 20 0 0 0 7 0
hsa-miR-6503-5p 0 0 0 0 0 0 25 0 0 0 0 1 0 0
hsa-miR-6505-3p 2 1 6 4 5 11 5 0 4 4 0 14 0 0
hsa-miR-6505-5p 1 0 0 0 0 0 2 0 0 0 0 0 0 0
hsa-miR-6507-5p 0 0 0 0 2 0 0 0 0 0 0 0 0 0
hsa-miR-6508-3p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-6509-5p 0 0 2 0 0 0 0 0 17 0 0 4 0 0
hsa-miR-651-5p 9 5 5 0 6 15 17 41 0 11 7 12 34 23
hsa-miR-6510-3p 0 0 0 0 0 1 0 0 6 0 0 6 0 0
hsa-miR-6511a-3p 1 10 6 0 0 0 21 23 16 0 6 26 38 4
hsa-miR-6511b-3p 1 4 7 0 0 6 0 13 10 0 5 9 12 34
hsa-miR-6511b-5p 0 0 0 0 0 0 0 14 0 0 0 0 0 0
hsa-miR-6513-3p 14 0 0 4 0 4 0 1 7 18 0 9 0 21
hsa-miR-6513-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 6
hsa-miR-6514-3p 0 0 10 3 0 0 5 9 11 0 0 1 0 16
hsa-miR-6514-5p 1 0 0 0 0 0 0 0 0 2 1 0 1 0
hsa-miR-6515-3p 0 0 13 10 27 0 0 0 14 7 16 18 37 0
hsa-miR-6515-5p 0 4 17 23 2 0 19 0 48 0 10 16 0 0
hsa-miR-6516-3p 0 0 0 1 0 0 0 0 2 0 0 0 0 0
hsa-miR-6516-5p 2 2 2 0 0 0 0 0 8 8 0 13 0 7
hsa-miR-652-3p 30 15 18 16 42 11 59 47 59 41 19 84 23 14
hsa-miR-654-3p 58 14 108 84 57 13 124 141 159 63 26 72 52 19
hsa-miR-654-5p 159 48 156 201 47 20 173 147 147 30 39 109 0 26
hsa-miR-655-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-656-3p 0 0 0 0 0 0 6 0 0 1 0 0 0 0
hsa-miR-659-5p 0 0 4 8 1 3 0 5 21 8 5 9 4 32
hsa-miR-660-5p 19 4 1 20 1 49 22 65 25 9 12 9 37 69
hsa-miR-664a-3p 13 0 0 0 0 0 0 1 3 0 0 11 12 0
hsa-miR-664a-5p 133 14 76 220 68 41 102 120 395 84 41 170 185 128
hsa-miR-664b-5p 0 3 6 0 0 0 8 8 16 0 4 17 0 1
hsa-miR-668-3p 0 0 0 2 0 0 0 0 9 0 0 0 0 0
hsa-miR-671-3p 1265 368 1048 767 539 209 728 519 1980 245 615 1333 503 241
hsa-miR-671-5p 2 0 3 12 0 1 0 6 0 1 17 2 0 0
hsa-miR-6715a-3p 0 0 0 0 0 0 0 0 0 3 0 0 0 1
hsa-miR-6716-3p 10 5 11 7 0 0 19 3 0 0 3 11 9 0
hsa-miR-6720-3p 0 0 0 0 0 0 1 0 0 0 0 0 0 0
hsa-miR-6721-5p 56 21 34 28 47 1 28 34 80 2 27 72 44 0
hsa-miR-6726-3p 0 0 2 0 0 0 20 13 19 0 2 26 12 1
hsa-miR-6729-5p 0 0 0 0 0 0 0 0 21 0 0 0 0 0
hsa-miR-6730-5p 0 1 0 0 0 0 0 8 13 0 0 0 0 10
hsa-miR-6731-5p 0 0 0 1 0 0 0 0 0 0 0 0 0 0
hsa-miR-6732-3p 0 0 0 0 0 1 0 12 0 0 0 0 0 0
hsa-miR-6732-5p 0 0 0 6 0 0 0 0 0 0 3 0 0 0
hsa-miR-6733-5p 0 2 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6734-3p 0 0 0 0 0 0 12 0 8 5 0 2 9 0
hsa-miR-6734-5p 9 2 3 8 2 0 9 13 11 0 1 0 21 19
hsa-miR-6735-3p 12 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6735-5p 12 1 4 0 0 5 17 0 4 0 5 8 17 0
hsa-miR-6736-3p 0 3 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6736-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6737-3p 0 0 0 0 0 0 0 0 0 0 2 0 0 0
hsa-miR-6738-3p 21 6 0 6 50 0 13 0 3 0 5 41 0 22
hsa-miR-6739-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6740-5p 0 0 0 0 0 0 0 0 2 0 0 6 0 0
hsa-miR-6741-3p 119 19 73 48 24 18 164 137 273 90 36 100 65 30
hsa-miR-6741-5p 41 6 75 13 11 1 40 136 164 38 23 44 24 29
hsa-miR-6743-3p 0 0 0 0 0 0 0 0 0 0 3 8 0 0
hsa-miR-6746-3p 0 0 0 0 0 0 0 0 0 0 0 8 0 0
hsa-miR-6747-3p 78 5 55 60 55 0 41 161 177 17 15 105 58 15
hsa-miR-6748-3p 0 0 0 2 0 0 0 11 6 0 0 0 0 0
hsa-miR-675-3p 0 0 0 0 0 1 0 0 0 1 0 2 0 0
hsa-miR-675-5p 0 0 0 0 0 0 0 1 4 1 0 2 0 0
hsa-miR-6750-5p 0 0 0 6 0 0 0 0 5 0 1 0 0 0
hsa-miR-6752-3p 0 0 0 3 0 0 0 0 0 0 0 0 0 0
hsa-miR-6753-3p 4 0 0 0 0 0 12 0 0 0 0 2 0 0
hsa-miR-6754-3p 0 0 0 0 0 0 0 10 3 0 0 0 0 0
hsa-miR-6754-5p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-6755-5p 0 0 0 0 0 0 0 0 0 0 0 4 0 0
hsa-miR-6758-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6759-3p 1 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6759-5p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-676-3p 0 0 0 0 1 17 0 0 0 0 0 0 0 0
hsa-miR-676-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 5
hsa-miR-6760-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6763-5p 0 0 1 1 0 0 0 0 1 0 0 0 3 0
hsa-miR-6764-5p 0 0 0 0 0 0 0 0 14 0 0 0 0 0
hsa-miR-6766-5p 0 0 0 0 0 0 0 0 0 0 0 3 0 0
hsa-miR-6767-5p 5 0 0 15 0 0 21 7 17 4 0 8 16 27
hsa-miR-6769a-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6769b-3p 0 0 0 0 0 0 0 0 0 0 0 9 0 0
hsa-miR-6769b-5p 10 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6770-3p 0 0 2 0 0 0 0 0 39 0 0 16 0 0
hsa-miR-6770-5p 0 2 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6772-3p 51 21 41 0 17 19 6 55 102 21 13 21 26 18
hsa-miR-6774-3p 6 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6774-5p 0 0 0 0 0 0 0 0 0 0 0 10 0 0
hsa-miR-6777-3p 9 0 6 8 18 21 16 0 65 9 2 8 33 9
hsa-miR-6777-5p 0 1 0 0 0 0 0 2 0 0 0 0 0 17
hsa-miR-6779-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6780a-5p 18 6 0 3 27 4 0 13 35 0 8 7 29 29
hsa-miR-6780b-5p 0 0 2 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6781-5p 0 0 3 0 16 3 0 0 38 0 0 4 0 10
hsa-miR-6783-3p 0 0 0 0 0 0 7 2 8 0 3 0 0 0
hsa-miR-6784-3p 0 0 0 2 0 0 0 10 0 0 0 0 0 0
hsa-miR-6785-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6786-3p 32 0 4 23 0 0 44 7 11 0 11 33 26 0
hsa-miR-6787-3p 0 0 9 0 0 0 7 17 18 0 5 8 0 0
hsa-miR-6787-5p 7 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6788-3p 0 0 0 5 0 0 0 0 0 0 0 9 0 0
hsa-miR-6789-3p 0 0 1 0 0 7 0 12 7 0 1 14 4 12
hsa-miR-6791-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6791-5p 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6793-3p 0 0 0 0 0 0 1 0 0 0 0 0 0 0
